Date,Open,High,Low,Close,Volume
2024-08-19,3344.26,3375.96,3343.71,3356.97,105571110
2024-08-20,3361.64,3362.33,3321.64,3332.7,101668331
2024-08-21,3322.91,3339.44,3307.99,3321.64,89954751
2024-08-22,3322.87,3327.7,3305.25,3313.14,100366504
2024-08-23,3305.93,3336.24,3305.64,3327.19,89525774
2024-08-26,3330.72,3336.53,3311.57,3324.22,93990772
2024-08-27,3315.69,3320.57,3299.56,3305.33,95808157
2024-08-28,3298.91,3305.35,3274.59,3286.5,92696650
2024-08-29,3273.54,3290.79,3269.53,3277.68,130702333
2024-08-30,3273.75,3351.63,3273.65,3321.43,188695443
2024-09-02,3307.54,3307.76,3264.76,3265.01,147612353
2024-09-03,3261.74,3281.59,3261.19,3273.43,122897306
2024-09-04,3253.9,3272.99,3249.98,3252.16,104832482
2024-09-05,3252.96,3266.88,3247.17,3257.76,97109450
2024-09-06,3261.15,3274.81,3231.07,3231.35,88400417
2024-09-09,3214.8,3222.93,3180.93,3192.95,108673069
2024-09-10,3193.46,3205.1,3171.79,3195.76,97290078
2024-09-11,3187.05,3197.34,3174.03,3186.13,102482110
2024-09-12,3189.43,3201.55,3171.88,3172.47,92868657
2024-09-13,3174.03,3188.91,3159.25,3159.25,88336677
2024-09-18,3158.82,3179.9,3145.79,3171.01,84722814
2024-09-19,3178.4,3213.84,3149.79,3196.04,125439272
2024-09-20,3192.43,3207.99,3173.22,3201.05,118064098
2024-09-23,3200.87,3230.16,3198.02,3212.76,95344855
2024-09-24,3244.65,3351.97,3222.49,3351.91,204072217
2024-09-25,3403.7,3465.49,3393.44,3401.53,241564255
2024-09-26,3399.32,3545.32,3391.68,3545.32,243134010
2024-09-27,3617.92,3708.5,3596.58,3703.68,265487774
2024-09-30,3846.65,4038.7,3796.5,4017.85,510217707
2024-10-08,4450.37,4450.37,4094.35,4256.1,589867894
2024-10-09,4168.84,4197.6,3942.51,3955.98,482269295
2024-10-10,3979.61,4098.5,3912.77,3997.79,395053099
2024-10-11,3969.76,3978.24,3847.12,3887.17,274096505
2024-10-14,3915.22,3979.54,3868.78,3961.34,307578993
2024-10-15,3942.53,3967.87,3855.99,3855.99,242486448
2024-10-16,3806.14,3877.75,3805.09,3831.59,218866407
2024-10-17,3853.84,3882.07,3787.75,3788.22,212313820
